match,home_team,away_team,market_name,player_name,outcome_name,player_team,line,over_price,agency,opposition_team,under_price
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Jaren Jackson Jr.,NA,Memphis Grizzlies,36.5,2.15,Betr,San Antonio Spurs,1.65
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Stephon Castle,NA,San Antonio Spurs,18.5,1.61,Betr,Memphis Grizzlies,2.25
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Devin Vassell,NA,San Antonio Spurs,22.5,2.05,Betr,Memphis Grizzlies,1.71
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Devin Vassell,NA,San Antonio Spurs,23.5,2.3,Betr,Memphis Grizzlies,1.56
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Ja Morant,NA,Memphis Grizzlies,33.5,1.54,Betr,San Antonio Spurs,2.4
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Jaren Jackson Jr.,NA,Memphis Grizzlies,34.5,1.8,Betr,San Antonio Spurs,1.95
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Keshad Johnson,NA,Miami Heat,19.5,1.74,Betr,Memphis Grizzlies,2.05
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Keon Johnson,NA,Brooklyn Nets,19.5,1.74,Betr,Memphis Grizzlies,2.05
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Keldon Johnson,NA,San Antonio Spurs,19.5,1.74,Betr,Memphis Grizzlies,2.05
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Keshad Johnson,NA,Miami Heat,20.5,1.95,Betr,Memphis Grizzlies,1.8
