match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,agency
Portland Trail Blazers v Phoenix Suns,Portland Trail Blazers,Phoenix Suns,Player Blocks,Devin Booker,Phoenix Suns,Portland Trail Blazers,0.5,2.65,NA,Neds
Portland Trail Blazers v Phoenix Suns,Portland Trail Blazers,Phoenix Suns,Player Blocks,Robert Williams,NA,NA,0.5,1.7,NA,Neds
Portland Trail Blazers v Phoenix Suns,Portland Trail Blazers,Phoenix Suns,Player Blocks,Toumani Camara,Portland Trail Blazers,Phoenix Suns,0.5,2.1,NA,Neds
Portland Trail Blazers v Phoenix Suns,Portland Trail Blazers,Phoenix Suns,Player Blocks,Deni Avdija,Portland Trail Blazers,Phoenix Suns,0.5,1.92,NA,Neds
Portland Trail Blazers v Phoenix Suns,Portland Trail Blazers,Phoenix Suns,Player Blocks,Donovan Clingan,Portland Trail Blazers,Phoenix Suns,0.5,1.2,NA,Neds
Portland Trail Blazers v Phoenix Suns,Portland Trail Blazers,Phoenix Suns,Player Blocks,Ryan Dunn,Phoenix Suns,Portland Trail Blazers,0.5,1.75,NA,Neds
Portland Trail Blazers v Phoenix Suns,Portland Trail Blazers,Phoenix Suns,Player Blocks,Jordan Goodwin,Phoenix Suns,Portland Trail Blazers,0.5,2.95,NA,Neds
Portland Trail Blazers v Phoenix Suns,Portland Trail Blazers,Phoenix Suns,Player Blocks,Mark Williams,Phoenix Suns,Portland Trail Blazers,0.5,1.1400000000000001,NA,Neds
Portland Trail Blazers v Phoenix Suns,Portland Trail Blazers,Phoenix Suns,Player Blocks,Royce O'Neale,Phoenix Suns,Portland Trail Blazers,0.5,2.8,NA,Neds
Portland Trail Blazers v Phoenix Suns,Portland Trail Blazers,Phoenix Suns,Player Blocks,Kris Murray,Portland Trail Blazers,Phoenix Suns,0.5,3.1,NA,Neds
Portland Trail Blazers v Phoenix Suns,Portland Trail Blazers,Phoenix Suns,Player Blocks,Nick Richards,Phoenix Suns,Portland Trail Blazers,0.5,1.9,NA,Neds
Los Angeles Lakers v Utah Jazz,Los Angeles Lakers,Utah Jazz,Player Blocks,LeBron James,Los Angeles Lakers,Utah Jazz,2.5,12,NA,Neds
Los Angeles Lakers v Utah Jazz,Los Angeles Lakers,Utah Jazz,Player Blocks,Deandre Ayton,Los Angeles Lakers,Utah Jazz,2.5,12,NA,Neds
Orlando Magic v Golden State Warriors,Orlando Magic,Golden State Warriors,Player Blocks,Anthony Black,Orlando Magic,Golden State Warriors,2.5,6.5,NA,Neds
Orlando Magic v Golden State Warriors,Orlando Magic,Golden State Warriors,Player Blocks,Jonathan Isaac,Orlando Magic,Golden State Warriors,2.5,5,NA,Neds
Orlando Magic v Golden State Warriors,Orlando Magic,Golden State Warriors,Player Blocks,Goga Bitadze,Orlando Magic,Golden State Warriors,2.5,4.8,NA,Neds
Orlando Magic v Golden State Warriors,Orlando Magic,Golden State Warriors,Player Blocks,Al Horford,Golden State Warriors,Orlando Magic,2.5,10,NA,Neds
Orlando Magic v Golden State Warriors,Orlando Magic,Golden State Warriors,Player Blocks,Draymond Green,Golden State Warriors,Orlando Magic,2.5,12,NA,Neds
Orlando Magic v Golden State Warriors,Orlando Magic,Golden State Warriors,Player Blocks,Moses Moody,Golden State Warriors,Orlando Magic,2.5,12,NA,Neds
Orlando Magic v Golden State Warriors,Orlando Magic,Golden State Warriors,Player Blocks,Jalen Suggs,Orlando Magic,Golden State Warriors,2.5,7.25,NA,Neds
Orlando Magic v Golden State Warriors,Orlando Magic,Golden State Warriors,Player Blocks,Wendell Carter Jr.,Orlando Magic,Golden State Warriors,2.5,7.75,NA,Neds
San Antonio Spurs v Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,Player Blocks,Jaren Jackson Jr.,Memphis Grizzlies,San Antonio Spurs,2.5,4.75,NA,Neds
San Antonio Spurs v Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,Player Blocks,Luke Kornet,San Antonio Spurs,Memphis Grizzlies,2.5,3,NA,Neds
San Antonio Spurs v Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,Player Blocks,Zach Edey,Memphis Grizzlies,San Antonio Spurs,2.5,3.5,NA,Neds
San Antonio Spurs v Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,Player Blocks,Harrison Barnes,San Antonio Spurs,Memphis Grizzlies,0.5,2.55,NA,Neds
San Antonio Spurs v Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,Player Blocks,Jeremy Sochan,San Antonio Spurs,Memphis Grizzlies,0.5,2.25,NA,Neds
San Antonio Spurs v Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,Player Blocks,Luke Kornet,San Antonio Spurs,Memphis Grizzlies,0.5,1.1400000000000001,NA,Neds
San Antonio Spurs v Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,Player Blocks,Jaren Jackson Jr.,Memphis Grizzlies,San Antonio Spurs,0.5,1.3,NA,Neds
San Antonio Spurs v Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,Player Blocks,Cam Spencer,Memphis Grizzlies,San Antonio Spurs,0.5,3.5,NA,Neds
San Antonio Spurs v Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,Player Blocks,Santi Aldama,Memphis Grizzlies,San Antonio Spurs,0.5,2.2,NA,Neds
San Antonio Spurs v Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,Player Blocks,Zach Edey,Memphis Grizzlies,San Antonio Spurs,0.5,1.19,NA,Neds
San Antonio Spurs v Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,Player Blocks,De'Aaron Fox,San Antonio Spurs,Memphis Grizzlies,0.5,3.2,NA,Neds
San Antonio Spurs v Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,Player Blocks,Cedric Coward,Memphis Grizzlies,San Antonio Spurs,0.5,2.4,NA,Neds
San Antonio Spurs v Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,Player Blocks,Vince Williams Jr.,Memphis Grizzlies,San Antonio Spurs,0.5,2.3,NA,Neds
