match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,agency
Charlotte Hornets v Golden State Warriors,Charlotte Hornets,Golden State Warriors,Player Rebounds,Quinten Post,Golden State Warriors,Charlotte Hornets,4.5,1.98,1.77,Neds
Dallas Mavericks v Sacramento Kings,Dallas Mavericks,Sacramento Kings,Player Rebounds,Klay Thompson,Dallas Mavericks,Sacramento Kings,3.5,1.87,1.88,Neds
Oklahoma City Thunder v Houston Rockets,Oklahoma City Thunder,Houston Rockets,Player Rebounds,Luguentz Dort,Oklahoma City Thunder,Houston Rockets,3.5,1.8,1.94,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Khris Middleton,Washington Wizards,Miami Heat,5.5,2.85,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Bilal Coulibaly,Washington Wizards,Miami Heat,5.5,2.02,1.67,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Andrew Wiggins,Miami Heat,Washington Wizards,5.5,1.73,1.92,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Duncan Robinson,Miami Heat,Washington Wizards,5.5,3.6,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Bub Carrington,Washington Wizards,Miami Heat,5.5,2.35,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Tyler Herro,Miami Heat,Washington Wizards,5.5,1.73,1.92,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Richaun Holmes,Washington Wizards,Miami Heat,5.5,1.72,1.95,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Justin Champagnie,Washington Wizards,Miami Heat,5.5,2.4,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Alexandre Sarr,NA,NA,5.5,1.55,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Kyshawn George,Washington Wizards,Miami Heat,5.5,1.98,1.6800000000000002,Neds
Charlotte Hornets v Golden State Warriors,Charlotte Hornets,Golden State Warriors,Player Rebounds,Mark Williams,Charlotte Hornets,Golden State Warriors,17.5,7.25,NA,Neds
Dallas Mavericks v Sacramento Kings,Dallas Mavericks,Sacramento Kings,Player Rebounds,Kyrie Irving,Dallas Mavericks,Sacramento Kings,5.5,1.98,1.77,Neds
Oklahoma City Thunder v Houston Rockets,Oklahoma City Thunder,Houston Rockets,Player Rebounds,Jabari Smith Jr.,Houston Rockets,Oklahoma City Thunder,6.5,1.95,1.8,Neds
Dallas Mavericks v Sacramento Kings,Dallas Mavericks,Sacramento Kings,Player Rebounds,Zach LaVine,Sacramento Kings,Dallas Mavericks,5.5,2.15,1.65,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Justin Champagnie,Washington Wizards,Miami Heat,4.5,1.87,1.87,Neds
Charlotte Hornets v Golden State Warriors,Charlotte Hornets,Golden State Warriors,Player Rebounds,Miles Bridges,Charlotte Hornets,Golden State Warriors,7.5,2.1,1.6800000000000002,Neds
Charlotte Hornets v Golden State Warriors,Charlotte Hornets,Golden State Warriors,Player Rebounds,Kevon Looney,Golden State Warriors,Charlotte Hornets,4.5,1.78,1.98,Neds
Philadelphia 76ers v Portland Trail Blazers,Philadelphia 76ers,Portland Trail Blazers,Player Rebounds,Shaedon Sharpe,Portland Trail Blazers,Philadelphia 76ers,4.5,1.8,1.94,Neds
Dallas Mavericks v Sacramento Kings,Dallas Mavericks,Sacramento Kings,Player Rebounds,Naji Marshall,Dallas Mavericks,Sacramento Kings,6.5,2.15,1.67,Neds
Charlotte Hornets v Golden State Warriors,Charlotte Hornets,Golden State Warriors,Player Rebounds,Gary Payton II,Golden State Warriors,Charlotte Hornets,2.5,1.83,1.9,Neds
Oklahoma City Thunder v Houston Rockets,Oklahoma City Thunder,Houston Rockets,Player Rebounds,Shai Gilgeous-Alexander,Oklahoma City Thunder,Houston Rockets,4.5,1.85,1.9,Neds
Memphis Grizzlies v Atlanta Hawks,Memphis Grizzlies,Atlanta Hawks,Player Rebounds,Onyeka Okongwu,Atlanta Hawks,Memphis Grizzlies,9.5,1.87,1.87,Neds
Charlotte Hornets v Golden State Warriors,Charlotte Hornets,Golden State Warriors,Player Rebounds,Mark Williams,Charlotte Hornets,Golden State Warriors,19.5,14,NA,Neds
Philadelphia 76ers v Portland Trail Blazers,Philadelphia 76ers,Portland Trail Blazers,Player Rebounds,Deni Avdija,Portland Trail Blazers,Philadelphia 76ers,6.5,1.8199999999999998,1.92,Neds
Oklahoma City Thunder v Houston Rockets,Oklahoma City Thunder,Houston Rockets,Player Rebounds,Alperen Sengun,Houston Rockets,Oklahoma City Thunder,19.5,16,NA,Neds
Philadelphia 76ers v Portland Trail Blazers,Philadelphia 76ers,Portland Trail Blazers,Player Rebounds,Donovan Clingan,Portland Trail Blazers,Philadelphia 76ers,8.5,1.8199999999999998,1.92,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Bam Adebayo,Miami Heat,Washington Wizards,17.5,6.8,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Khris Middleton,Washington Wizards,Miami Heat,4.5,2.15,1.65,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Bilal Coulibaly,Washington Wizards,Miami Heat,7.5,3.75,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Richaun Holmes,Washington Wizards,Miami Heat,7.5,2.9,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Tyler Herro,Miami Heat,Washington Wizards,7.5,2.95,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Kyshawn George,Washington Wizards,Miami Heat,7.5,3.7,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Alexandre Sarr,NA,NA,7.5,2.45,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Bam Adebayo,Miami Heat,Washington Wizards,7.5,1.09,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Andrew Wiggins,Miami Heat,Washington Wizards,7.5,2.95,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Bub Carrington,Washington Wizards,Miami Heat,7.5,4.75,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Justin Champagnie,Washington Wizards,Miami Heat,7.5,4.8,NA,Neds
Charlotte Hornets v Golden State Warriors,Charlotte Hornets,Golden State Warriors,Player Rebounds,Jimmy Butler,NA,NA,5.5,2.1,1.6800000000000002,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Andrew Wiggins,Miami Heat,Washington Wizards,5.5,1.8199999999999998,1.92,Neds
Dallas Mavericks v Sacramento Kings,Dallas Mavericks,Sacramento Kings,Player Rebounds,Jonas Valanciunas,NA,NA,15.5,3.3,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Kyshawn George,Washington Wizards,Miami Heat,5.5,2.1,1.6800000000000002,Neds
Charlotte Hornets v Golden State Warriors,Charlotte Hornets,Golden State Warriors,Player Rebounds,Mark Williams,Charlotte Hornets,Golden State Warriors,9.5,1.3599999999999999,NA,Neds
Charlotte Hornets v Golden State Warriors,Charlotte Hornets,Golden State Warriors,Player Rebounds,Brandin Podziemski,Golden State Warriors,Charlotte Hornets,9.5,6.25,NA,Neds
Charlotte Hornets v Golden State Warriors,Charlotte Hornets,Golden State Warriors,Player Rebounds,Draymond Green,Golden State Warriors,Charlotte Hornets,9.5,4.8,NA,Neds
Charlotte Hornets v Golden State Warriors,Charlotte Hornets,Golden State Warriors,Player Rebounds,Miles Bridges,Charlotte Hornets,Golden State Warriors,9.5,3.25,NA,Neds
Charlotte Hornets v Golden State Warriors,Charlotte Hornets,Golden State Warriors,Player Rebounds,Jimmy Butler,NA,NA,9.5,7.75,NA,Neds
Dallas Mavericks v Sacramento Kings,Dallas Mavericks,Sacramento Kings,Player Rebounds,Keegan Murray,Sacramento Kings,Dallas Mavericks,11.5,7.25,NA,Neds
Dallas Mavericks v Sacramento Kings,Dallas Mavericks,Sacramento Kings,Player Rebounds,Jonas Valanciunas,NA,NA,11.5,1.58,NA,Neds
Memphis Grizzlies v Atlanta Hawks,Memphis Grizzlies,Atlanta Hawks,Player Rebounds,Jaren Jackson Jr.,Memphis Grizzlies,Atlanta Hawks,5.5,1.8,1.95,Neds
Charlotte Hornets v Golden State Warriors,Charlotte Hornets,Golden State Warriors,Player Rebounds,Tidjane Salaun,NA,NA,3.5,1.75,2,Neds
Dallas Mavericks v Sacramento Kings,Dallas Mavericks,Sacramento Kings,Player Rebounds,Keon Ellis,Sacramento Kings,Dallas Mavericks,3.5,2.35,1.5699999999999998,Neds
Memphis Grizzlies v Atlanta Hawks,Memphis Grizzlies,Atlanta Hawks,Player Rebounds,Onyeka Okongwu,Atlanta Hawks,Memphis Grizzlies,15.5,7.75,NA,Neds
Memphis Grizzlies v Atlanta Hawks,Memphis Grizzlies,Atlanta Hawks,Player Rebounds,Clint Capela,Atlanta Hawks,Memphis Grizzlies,15.5,23,NA,Neds
Memphis Grizzlies v Atlanta Hawks,Memphis Grizzlies,Atlanta Hawks,Player Rebounds,Zach Edey,Memphis Grizzlies,Atlanta Hawks,15.5,12,NA,Neds
Charlotte Hornets v Golden State Warriors,Charlotte Hornets,Golden State Warriors,Player Rebounds,Gui Santos,Golden State Warriors,Charlotte Hornets,3.5,1.95,1.8,Neds
Philadelphia 76ers v Portland Trail Blazers,Philadelphia 76ers,Portland Trail Blazers,Player Rebounds,Paul George,Philadelphia 76ers,Portland Trail Blazers,9.5,6.25,NA,Neds
Philadelphia 76ers v Portland Trail Blazers,Philadelphia 76ers,Portland Trail Blazers,Player Rebounds,Andre Drummond,Philadelphia 76ers,Portland Trail Blazers,9.5,1.92,1.75,Neds
