timestamp,match,start_time,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,opposition_team,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_unders,prop_id,under_prop_id,date,implied_prob_over,implied_prob_under,games_played_2022_2023,empirical_prob_over_2022_23,games_played_2023_2024,empirical_prob_over_2023_24,empirical_prob_last_10,empirical_prob_under_2022_23,empirical_prob_under_2023_24,diff_over_2022_23,diff_under_2022_23,diff_over_2023_24,diff_under_2023_24,diff_over_last_10,diff_under_last_10,agency,variation
2024-01-16T23:03:48Z,Phoenix Suns v Sacramento Kings,2024-01-17T02:00:00Z,Phoenix Suns,Sacramento Kings,Player Assists,Domantas Sabonis,Sacramento Kings,9.5,3.25,NA,Phoenix Suns,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,NA,78,0.22,39,0.31,0.5,0.78,0.69,-0.09,NA,0,NA,0.19,NA,Pointsbet,0.12
2024-01-16T23:03:48Z,Phoenix Suns v Sacramento Kings,2024-01-17T02:00:00Z,Phoenix Suns,Sacramento Kings,Player Assists,Domantas Sabonis,Sacramento Kings,9.5,3.1,NA,Phoenix Suns,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,NA,78,0.22,39,0.31,0.5,0.78,0.69,-0.1,NA,-0.01,NA,0.18,NA,BetRight,0.12
2024-01-16T23:03:48Z,Phoenix Suns v Sacramento Kings,2024-01-17T02:00:00Z,Phoenix Suns,Sacramento Kings,Player assists,Domantas Sabonis,Sacramento Kings,9.5,2.85,NA,Phoenix Suns,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,78,0.22,39,0.31,0.5,0.78,0.69,-0.13,NA,-0.04,NA,0.15,NA,BlueBet,0.12
2024-01-16T23:03:48Z,Phoenix Suns v Sacramento Kings,2024-01-17T02:00:00Z,Phoenix Suns,Sacramento Kings,Player Assists,Domantas Sabonis,Sacramento Kings,9.5,2.8,NA,Phoenix Suns,NA,NA,NA,NA,NA,NA,639386,NA,NA,0.36,NA,78,0.22,39,0.31,0.5,0.78,0.69,-0.14,NA,-0.05,NA,0.14,NA,TAB,0.12
2024-01-16T23:03:48Z,Phoenix Suns v Sacramento Kings,2024-01-17T02:00:00Z,Phoenix Suns,Sacramento Kings,Player Assists,Domantas Sabonis,Sacramento Kings,9.5,2.45,NA,Phoenix Suns,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,NA,78,0.22,39,0.31,0.5,0.78,0.69,-0.19,NA,-0.1,NA,0.09,NA,Neds,0.12
2024-01-16T23:03:48Z,Phoenix Suns v Sacramento Kings,2024-01-17T02:00:00Z,Phoenix Suns,Sacramento Kings,Player Assists,Eric Gordon,Phoenix Suns,1.5,1.8,1.95,Sacramento Kings,NA,NA,NA,NA,NA,NA,557622,557623,NA,0.56,0.51,68,0.74,32,0.62,0.4,0.26,0.38,0.18,-0.25,0.07,-0.14,-0.16,0.09,TAB,0.12
2024-01-16T23:03:48Z,Phoenix Suns v Sacramento Kings,2024-01-17T02:00:00Z,Phoenix Suns,Sacramento Kings,Player Assists,Eric Gordon,Phoenix Suns,1.5,1.75,1.95,Sacramento Kings,NA,NA,NA,NA,NA,NA,639280,557623,NA,0.57,0.51,68,0.74,32,0.62,0.4,0.26,0.38,0.16,-0.25,0.05,-0.14,-0.17,0.09,TAB,0.12
2024-01-16T23:03:48Z,Phoenix Suns v Sacramento Kings,2024-01-17T02:00:00Z,Phoenix Suns,Sacramento Kings,Player Assists,Eric Gordon,Phoenix Suns,1.5,1.48,NA,Sacramento Kings,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,NA,68,0.74,32,0.62,0.4,0.26,0.38,0.06,NA,-0.05,NA,-0.28,NA,Neds,0.12
2024-01-16T23:03:48Z,Philadelphia 76ers v Denver Nuggets,2024-01-17T00:30:00Z,Philadelphia 76ers,Denver Nuggets,Player Assists,Joel Embiid,Philadelphia 76ers,7.5,5,NA,Denver Nuggets,NA,NA,NA,NA,NA,NA,639010,NA,NA,0.2,NA,66,0.09,28,0.25,0.2,0.91,0.75,-0.11,NA,0.05,NA,0,NA,TAB,0.12
2024-01-16T23:03:48Z,Philadelphia 76ers v Denver Nuggets,2024-01-17T00:30:00Z,Philadelphia 76ers,Denver Nuggets,Player Assists,Joel Embiid,Philadelphia 76ers,7.5,4,NA,Denver Nuggets,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,66,0.09,28,0.25,0.2,0.91,0.75,-0.16,NA,0,NA,-0.05,NA,Pointsbet,0.12
